Time,Current
32.202994,16.433394,0.000000
32.220982,16.433394,0.000000
32.227224,16.433394,0.000000
32.240538,16.433394,0.000000
32.249539,16.433394,0.000000
32.267783,16.433394,0.000000
32.286844,16.433394,0.000000
32.292594,16.433394,0.000000
32.308318,16.433394,0.000000
32.316133,16.433394,0.000000
32.323139,16.433394,0.000000
32.340293,16.433394,0.000000
32.346941,16.433394,0.000000
32.363309,16.433394,0.000000
32.378634,16.433394,0.000000
32.380569,16.433394,0.000000
32.399576,16.433394,0.000000
32.402213,16.433394,0.000000
32.411570,16.433394,0.000000
32.422428,16.433394,0.000000
32.435204,16.433394,0.000000
32.443908,16.433394,0.000000
32.455057,16.433394,0.000000
